tid,lat,lon,day,hour,payment_type,pickup_dropoff,tid2,tid3
2010,40.707258,-73.953897,19,2,1,0,15,13
2020,40.721282,-73.987612,19,2,3,1,15,13
2020,40.714553,-73.951713,19,2,3,0,15,13
2030,40.71381,-73.998405,19,10,3,1,15,13
2030,40.716775,-74.00815,19,11,3,0,15,13
2040,40.723663,-73.996528,19,10,3,1,15,13
2040,40.738057,-74.000562,19,11,1,0,15,13
2050,40.762112,-73.973758,19,10,3,1,15,13
2050,40.758703,-73.971197,19,10,3,0,15,13
2060,40.72046,-74.00112,19,2,3,1,15,14
2060,40.765355,-73.92584999999998,19,2,1,0,15,14
2070,40.723148,-73.98576699999998,19,11,1,1,15,14
2070,40.708212,-74.014123,19,11,3,0,15,14
2080,40.78298,-73.957307,19,11,3,1,15,14
2080,40.762237,-73.970427,19,11,3,0,15,14
2090,40.759272,-73.99216699999998,19,2,1,1,15,14
2090,40.73612,-74.00515699999998,19,2,3,0,15,14
2100,40.75783,-73.97660299999998,19,11,3,1,15,14
2100,40.762967,-73.96942,19,11,3,0,15,14
2110,40.74002,-73.99882499999998,19,2,3,1,15,14
2110,40.714933,-74.00913799999998,19,2,3,0,15,14
2120,40.769932,-73.96136799999998,19,2,1,1,15,14
2120,40.740213,-74.00149,19,2,1,0,16,14
2130,40.755782,-73.994095,19,20,3,1,16,14
2130,40.758273,-73.985618,19,20,1,0,16,14
2140,40.761937,-73.979067,19,19,3,1,16,14
2140,40.729877,-73.99847,19,20,3,0,16,14
2150,40.776087,-73.982282,19,11,1,1,16,14
2150,40.754015,-73.978103,19,11,3,0,16,14
2160,40.775827,-73.960415,19,11,3,1,16,14
2160,40.751267,-73.97564,19,11,3,0,16,14
2170,40.751578,-73.993842,19,20,3,1,16,14
2170,40.763643,-73.98539499999998,19,20,3,0,16,15
2180,40.765897,-73.96903299999998,19,20,1,1,16,15
2180,40.770667,-73.981187,19,20,1,0,16,15
2190,40.768477,-73.96168799999998,19,20,3,1,16,15
2190,40.78352,-73.9569,19,20,1,0,16,15
2200,40.68096,-73.998845,19,20,3,1,16,15
2200,40.676623,-73.98089799999998,19,20,3,0,16,15
2210,40.724165,-74.00318799999998,19,11,3,1,16,15
2210,40.740885,-74.007592,19,11,3,0,16,15
2220,40.753475,-73.97768,19,11,1,1,16,15
2220,40.757935,-73.98482799999998,19,11,3,0,16,15
2230,40.778445,-73.98492799999998,19,11,3,1,16,15
2230,40.785433,-73.969717,19,11,3,0,16,15
2240,40.779028,-73.962238,19,11,3,1,16,15
2240,40.774115,-73.96374799999998,19,11,3,0,16,15
2250,40.783062,-73.959348,19,11,3,1,16,15
2250,40.770933,-73.96731699999998,19,11,3,0,16,15
2260,40.714577,-74.01380299999998,19,11,3,1,17,15
2260,40.754462,-74.006505,19,11,3,0,17,15
2270,40.760155,-73.98159699999998,19,20,3,1,17,15
2270,40.762778,-73.97396999999998,19,20,1,0,17,15
2280,40.756103,-73.96964,19,20,1,1,17,15
2280,40.75011,-73.998275,19,20,1,0,17,15
2290,40.645462,-73.77671999999998,19,20,1,1,17,15
2290,40.66504,-73.74414799999998,19,20,3,0,17,15
2300,40.72623,-73.98354,19,20,3,1,17,15
2300,40.728405,-74.00257499999998,19,20,1,0,17,15
2310,40.761893,-73.98690999999998,19,20,3,1,17,15
2310,40.743193,-74.003817,19,20,1,0,17,15
2320,40.773617,-73.95986999999998,19,20,3,1,17,15
2320,40.753198,-73.971845,19,20,1,0,17,15
2330,40.725992,-74.00871999999998,13,0,1,1,17,15
2330,40.709175,-74.00533,13,1,3,0,17,15
2340,40.71998,-73.987943,14,19,3,1,17,15
2340,40.750657,-73.978638,14,19,3,0,17,16
2350,40.75389,-73.978617,18,21,3,1,17,16
2350,40.730225,-74.000265,18,21,3,0,17,16
2360,40.76449,-73.98318299999998,12,11,1,1,17,16
2360,40.738042,-74.00014799999998,12,11,3,0,17,16
2370,40.77984,-73.961607,12,11,3,1,17,16
2370,40.786173,-73.953253,12,11,3,0,17,16
2380,40.756487,-73.997878,13,9,3,1,17,16
2380,40.747955,-74.00009199999998,13,9,3,0,17,16
2390,40.769965,-73.96099499999998,13,13,3,1,17,16
2390,40.76323,-73.967425,13,13,3,0,18,16
2400,40.745333,-74.00238299999998,11,21,3,1,18,16
2400,40.785667,-73.97018699999998,11,21,1,0,18,16
2410,40.733928,-74.008458,13,22,3,1,18,16
2410,40.726068,-74.009625,13,22,3,0,18,16
